CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.90,0.82,95.40,0.00,95.40,0.00,0.17,0.00,0.08,0.00,0.00,2.00,1000.00,201.80,139.51,0.00,12.00
C10002,3202.47,0.91,0.00,0.00,0.00,6442.95,0.00,0.00,0.00,0.25,4.00,0.00,7000.00,4103.03,1072.34,0.22,12.00
C10003,2495.15,1.00,773.17,773.17,0.00,0.00,1.00,1.00,0.00,0.00,0.00,12.00,7500.00,622.07,627.28,0.00,12.00
C10004,1666.67,0.64,1499.00,1499.00,0.00,205.79,0.08,0.08,0.00,0.08,1.00,1.00,7500.00,0.00,,0.00,12.00
C10005,817.71,1.00,16.00,16.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,1200.00,678.33,244.79,0.00,12.00
C10006,1809.83,1.00,1333.28,0.00,1333.28,0.00,0.67,0.00,0.58,0.00,0.00,8.00,1800.00,1400.06,2407.25,0.00,12.00
C10007,627.26,1.00,7091.01,6402.63,688.38,0.00,1.00,1.00,1.00,0.00,0.00,64.00,13500.00,6354.31,198.07,1.00,12.00
C10008,1823.65,1.00,436.20,0.00,436.20,0.00,1.00,0.00,1.00,0.00,0.00,12.00,2300.00,679.07,532.03,0.00,12.00
C10009,1014.93,1.00,861.49,661.49,200.00,0.00,0.33,0.08,0.25,0.00,0.00,5.00,7000.00,688.28,311.96,0.00,12.00
C10010,152.23,0.55,1281.60,1281.60,0.00,0.00,0.17,0.17,0.00,0.00,0.00,3.00,11000.00,1164.77,100.30,0.00,12.00
C10011,1293.12,1.00,920.12,0.00,920.12,0.00,1.00,0.00,1.00,0.00,0.00,12.00,1200.00,1083.30,2172.70,0.00,12.00
C10012,630.79,0.82,1492.18,1492.18,0.00,0.00,0.25,0.25,0.00,0.00,0.00,6.00,2000.00,705.62,155.55,0.00,12.00
C10013,1516.93,1.00,3217.99,2500.23,717.76,0.00,1.00,0.25,0.92,0.00,0.00,26.00,3000.00,608.26,490.21,0.25,12.00
C10014,921.69,1.00,2137.93,419.96,1717.97,0.00,0.75,0.17,0.75,0.00,0.00,26.00,7500.00,1655.89,251.14,0.08,12.00
C10015,2772.77,1.00,0.00,0.00,0.00,346.81,0.00,0.00,0.00,0.08,1.00,0.00,3000.00,805.65,989.96,0.00,12.00
C10016,6886.21,1.00,1611.70,0.00,1611.70,2301.49,0.50,0.00,0.50,0.17,4.00,11.00,8000.00,1993.44,2109.91,0.00,12.00
C10017,2072.07,0.88,0.00,0.00,0.00,2784.27,0.00,0.00,0.00,0.25,3.00,0.00,3000.00,391.97,376.58,0.00,8.00
C10018,41.09,0.45,519.00,0.00,519.00,0.00,0.42,0.00,0.33,0.00,0.00,8.00,2500.00,254.59,73.20,0.25,12.00
C10019,1989.07,1.00,504.35,166.00,338.35,0.00,0.67,0.08,0.58,0.00,0.00,9.00,13000.00,1720.84,744.61,0.00,12.00
C10020,3577.97,1.00,398.64,0.00,398.64,0.00,1.00,0.00,1.00,0.00,0.00,12.00,4000.00,1053.98,12465.55,0.00,12.00
C10021,2016.68,1.00,176.68,0.00,176.68,0.00,0.67,0.00,0.67,0.00,0.00,8.00,2000.00,223.07,13557.30,0.00,12.00
C10022,6369.53,1.00,6359.95,5910.04,449.91,229.03,1.00,0.92,1.00,0.33,6.00,92.00,11250.00,2077.96,1659.78,0.00,12.00
C10023,132.34,0.64,815.90,0.00,815.90,0.00,1.00,0.00,1.00,0.00,0.00,17.00,1800.00,2359.63,86.33,0.00,12.00
C10024,3800.15,0.82,4248.35,3454.56,793.79,7974.42,1.00,0.08,0.92,0.33,13.00,13.00,9000.00,9479.04,1425.43,0.00,12.00
C10025,5368.57,1.00,0.00,0.00,0.00,798.95,0.00,0.00,0.00,0.36,4.00,0.00,6000.00,1422.73,1657.00,0.00,11.00
C10026,169.78,1.00,399.60,0.00,399.60,0.00,1.00,0.00,1.00,0.00,0.00,12.00,3000.00,215.31,163.01,0.00,12.00
C10027,1615.97,1.00,102.00,102.00,0.00,244.84,0.17,0.17,0.00,0.25,5.00,2.00,1700.00,890.18,971.18,0.00,12.00
C10028,125.69,1.00,233.28,0.00,233.28,0.00,1.00,0.00,1.00,0.00,0.00,12.00,1000.00,207.77,164.75,0.00,12.00
C10029,7152.86,1.00,387.05,204.55,182.50,2236.15,0.67,0.17,0.42,0.83,16.00,8.00,10500.00,1601.45,1648.85,0.00,12.00
C10030,22.06,1.00,100.00,0.00,100.00,0.00,0.42,0.00,0.42,0.00,0.00,5.00,6900.00,160.77,159.68,0.00,12.00
C10031,12136.22,1.00,3038.01,1013.20,2024.81,3183.58,1.00,0.17,1.00,0.50,10.00,64.00,13000.00,4230.32,3292.02,0.00,12.00
C10032,1162.27,1.00,1347.71,400.00,947.71,175.82,1.00,0.08,1.00,0.17,2.00,45.00,6000.00,646.00,256.85,0.00,12.00
C10033,6732.82,1.00,324.95,324.95,0.00,1189.53,0.08,0.08,0.00,0.17,3.00,3.00,10500.00,1720.12,2506.75,0.00,12.00
C10034,125.66,1.00,636.79,636.79,0.00,0.00,0.92,0.92,0.00,0.00,0.00,11.00,1200.00,423.45,196.30,0.30,12.00
C10035,3517.10,0.73,547.28,0.00,547.28,0.00,1.00,0.00,1.00,0.00,0.00,14.00,11000.00,8735.61,17862.56,0.00,12.00
C10036,1656.35,1.00,0.00,0.00,0.00,99.26,0.00,0.00,0.00,0.08,1.00,0.00,1800.00,351.50,634.57,0.00,12.00
C10037,7427.08,1.00,0.00,0.00,0.00,8873.38,0.00,0.00,0.00,0.73,11.00,0.00,9000.00,1636.36,1986.84,0.00,11.00
C10038,4047.48,1.00,2380.55,1642.17,738.38,1697.66,0.75,0.50,0.75,0.33,7.00,41.00,5000.00,1617.89,1541.14,0.00,12.00
C10039,6269.42,1.00,204.00,204.00,0.00,2925.70,0.08,0.08,0.00,0.33,12.00,2.00,9000.00,1237.11,2049.41,0.00,12.00
C10040,1411.60,0.45,963.24,963.24,0.00,6173.68,0.08,0.08,0.00,0.33,6.00,6.00,7500.00,20071.08,719.95,0.33,12.00
C10041,663.45,0.73,0.00,0.00,0.00,3133.06,0.00,0.00,0.00,0.25,3.00,0.00,1800.00,3067.06,283.33,0.17,12.00
C10043,784.89,0.91,1526.59,786.30,740.29,2188.42,0.58,0.42,0.33,0.25,11.00,27.00,3000.00,1262.31,363.14,0.11,12.00
C10044,4104.71,1.00,203.82,203.82,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,4500.00,868.28,1801.26,0.00,12.00
C10045,1360.74,1.00,0.00,0.00,0.00,1481.59,0.00,0.00,0.00,0.08,1.00,0.00,1500.00,378.29,321.35,0.00,12.00
C10046,5315.95,1.00,1525.44,469.80,1055.64,0.00,1.00,0.33,1.00,0.00,0.00,20.00,8500.00,1430.34,1318.71,0.00,12.00
C10047,2242.31,1.00,437.00,97.00,340.00,184.65,0.33,0.08,0.33,0.17,2.00,5.00,2400.00,0.00,,0.00,12.00
C10048,474.45,0.50,109.74,0.00,109.74,1013.66,0.38,0.00,0.25,0.13,1.00,3.00,1700.00,176.01,147.20,0.00,8.00
C10049,3910.11,1.00,0.00,0.00,0.00,1980.87,0.00,0.00,0.00,0.50,7.00,0.00,4200.00,0.00,,0.00,12.00
C10050,229.87,1.00,2390.60,1402.93,987.67,0.00,1.00,0.67,1.00,0.00,0.00,87.00,3300.00,2543.95,175.66,0.92,12.00
C10051,863.81,1.00,507.50,507.50,0.00,695.10,0.17,0.17,0.00,0.08,2.00,3.00,4000.00,587.87,286.45,0.08,12.00
C10052,4931.33,1.00,901.42,646.07,255.35,8530.65,0.63,0.38,0.25,0.88,37.00,9.00,12000.00,8113.30,1012.42,0.00,8.00
C10053,1078.89,1.00,3107.85,2221.74,886.11,0.00,0.67,0.58,0.50,0.00,0.00,18.00,2500.00,1399.83,1322.45,0.00,12.00
C10054,1565.68,1.00,0.00,0.00,0.00,321.36,0.00,0.00,0.00,0.25,3.00,0.00,3500.00,691.83,581.48,0.00,12.00
C10055,464.67,0.89,1979.22,1979.22,0.00,1981.27,0.67,0.67,0.00,0.11,1.00,11.00,3000.00,3110.05,132.45,0.20,9.00
C10056,6.66,0.64,310.00,0.00,310.00,0.00,0.67,0.00,0.67,0.00,0.00,8.00,1000.00,417.02,,0.00,12.00
C10057,1312.00,1.00,1283.90,1283.90,0.00,0.00,0.25,0.25,0.00,0.00,0.00,6.00,6000.00,0.00,,0.00,12.00
C10058,3625.22,1.00,313.27,313.27,0.00,668.47,0.25,0.25,0.00,0.42,5.00,4.00,4000.00,0.00,,0.00,12.00
C10059,2386.33,1.00,5217.62,4789.09,428.53,0.00,0.92,0.92,0.50,0.00,0.00,42.00,7500.00,5678.73,1311.51,0.08,12.00
C10060,3971.14,1.00,0.00,0.00,0.00,224.58,0.00,0.00,0.00,0.18,3.00,0.00,4000.00,764.94,1600.21,0.00,11.00
C10061,5493.90,1.00,229.00,0.00,229.00,970.59,0.42,0.00,0.33,0.33,4.00,6.00,6000.00,2110.56,1895.03,0.00,12.00
C10062,1879.11,0.73,113.00,113.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,2.00,6500.00,3509.69,548.11,0.00,12.00
C10063,1555.79,1.00,66.20,66.20,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,1600.00,338.08,837.22,0.00,12.00
C10064,809.58,0.91,0.00,0.00,0.00,3819.67,0.00,0.00,0.00,0.55,7.00,0.00,4150.00,4372.15,241.65,0.09,11.00
C10065,7.15,0.09,840.00,840.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,1600.00,0.00,,0.00,12.00
C10067,1923.89,1.00,1887.64,0.00,1887.64,1605.95,1.00,0.00,1.00,0.08,4.00,61.00,1850.00,3688.05,3267.00,0.08,12.00
C10068,1758.06,1.00,412.33,325.21,87.12,0.00,0.58,0.33,0.17,0.00,0.00,11.00,1800.00,777.45,897.91,0.00,12.00
C10069,809.85,0.88,0.00,0.00,0.00,908.42,0.00,0.00,0.00,0.13,1.00,0.00,1500.00,146.07,179.41,0.00,8.00
C10070,1576.31,1.00,0.00,0.00,0.00,382.91,0.00,0.00,0.00,0.42,6.00,0.00,2500.00,540.02,352.88,0.00,12.00
C10071,3990.52,1.00,263.50,190.60,72.90,0.00,0.67,0.08,0.58,0.00,0.00,8.00,6000.00,6876.84,1001.61,0.08,12.00
